uid,monetary,purchase_recency,frequency,r_quartile,m_quartile,f_quartile,RFM_seg,RFM_score,RFM_seg_label
KsRuccQP,75.87,28,13,3,4,4,344,11,Other
tFs48SdX,17.979999999999997,41,2,1,3,2,123,6,Other
T3Q6PSr3,8.99,44,1,1,2,1,112,4,Other
57O7Jbjs,13.950000000000001,41,5,1,2,4,142,7,Loyal Customers
tuwMbomK,16.99,44,1,1,2,1,112,4,Other
NGHyBb76,4.98,36,2,2,1,2,221,5,Other
LYWroqLP,8.97,42,3,1,2,3,132,6,Other
vU4PJ1dB,0.99,44,1,1,1,1,111,3,Lost Cheap Customers
gPPcIdE8,13.97,44,3,1,2,3,132,6,Other
UXMWdwuX,52.97,34,3,2,4,3,234,9,Big Spenders
vWVcxTxP,24.940000000000005,42,6,1,3,4,143,8,Loyal Customers
1gHS4GML,11.97,38,3,2,2,3,232,7,Other
66G4XBwF,54.90000000000001,34,10,2,4,4,244,10,Almost Lost
HgICW6Tq,3.99,44,1,1,1,1,111,3,Lost Cheap Customers
IKyofx2J,22.919999999999998,24,8,4,3,4,443,11,Other
N2bjxiyr,29.97,36,3,2,3,3,233,8,Other
1FWyH5rH,35.96,37,4,2,3,3,233,8,Other
5GRu4bG2,98.83999999999999,30,16,3,4,4,344,11,Other
dTLGwvWb,151.94,24,6,4,4,4,444,12,Champions
RgilNy5U,4.95,39,5,2,1,4,241,7,Loyal Customers
XeFMDCtq,32.91000000000001,25,9,4,3,4,443,11,Other
3F4lmKYh,45.940000000000005,27,6,3,4,4,344,11,Other
MGdXDunn,130.95,33,5,2,4,4,244,10,Almost Lost
loieoqLo,43.940000000000005,22,6,4,4,4,444,12,Champions
1iFTsxp5,18.97,37,3,2,3,3,233,8,Other
1QCON48c,8.940000000000001,29,6,3,2,4,342,9,Loyal Customers
hBR82HDK,8.99,43,1,1,2,1,112,4,Other
O1iEjJ8L,8.99,43,1,1,2,1,112,4,Other
f3kDfv1D,7.98,43,2,1,2,2,122,5,Other
WfxnVeie,58.92000000000001,34,8,2,4,4,244,10,Almost Lost
DYuWUtww,129.98,39,2,2,4,2,224,8,Big Spenders
ySCpJeBE,238.93,24,7,4,4,4,444,12,Champions
x6NSjurc,169.89999999999998,32,10,3,4,4,344,11,Other
xgWrUgnl,246.91000000000003,34,9,2,4,4,244,10,Almost Lost
S23KO8wx,131.50999999999993,22,49,4,4,4,444,12,Champions
BWS31uCU,103.94,36,6,2,4,4,244,10,Almost Lost
OKpmMPPH,199.82000000000002,40,18,2,4,4,244,10,Almost Lost
uPEJ5j4o,259.96,38,4,2,4,3,234,9,Big Spenders
w2ls8RII,29.97,42,3,1,3,3,133,7,Other
TMgwLcUf,69.98,31,2,3,4,2,324,9,Big Spenders
7r2OGwSP,174.95000000000002,41,5,1,4,4,144,9,Lost Customers
ShUfCbHj,21.9,25,10,4,3,4,443,11,Other
cswT2Br2,11.940000000000001,26,6,3,2,4,342,9,Loyal Customers
JCkdWpT6,45.84,23,16,4,4,4,444,12,Champions
oODEQS6X,6.930000000000001,42,7,1,2,4,142,7,Loyal Customers
